Date,betten_ges,betten_belegt,faelle_covid_aktuell,faelle_covid_aktuell_beatmet
2021-08-21,25728,21016,696,319
2020-05-10,32489,19706,1592,1081
2021-09-11,25914,21734,1458,776
2020-10-31,29923,21825,1965,1014
2020-07-26,33769,21307,274,135
2020-12-01,28418,22725,3946,2367
2021-03-22,27511,22437,3182,1694
2020-09-27,31445,21708,330,182
2021-09-14,26201,22083,1552,791
2021-05-16,26807,22187,4165,2555
2021-05-13,27129,22996,4302,2682
2020-09-25,31567,22587,308,166
2021-06-03,26794,22201,2056,1343
2020-12-09,28148,23062,4303,2534
2020-10-30,30174,22210,1856,927
2021-04-04,27199,22208,4099,2249
2021-01-13,27729,23124,5249,3010
2021-05-10,27124,22968,4641,2770
2021-07-22,26171,21549,358,202
2021-05-20,27010,22977,3631,2306
2021-06-16,26847,22298,1153,800
2021-02-26,27607,22925,2916,1732
2020-09-09,31650,22482,229,134
2021-01-21,27800,23407,4853,2761
2021-05-27,26867,22414,2869,1857
2021-06-18,26745,22262,1029,721
2020-08-05,31378,21920,245,143
2020-07-27,33829,21244,266,136
2021-06-22,26733,22289,866,612
2020-09-04,31708,22342,227,130
2021-03-01,27542,22286,2936,1693
2021-08-04,26174,21494,400,204
2021-08-27,25896,21443,941,455
2021-02-09,27705,22923,3925,2178
2020-05-23,33406,20562,929,583
2020-10-01,31531,22410,364,195
2020-12-27,27243,21886,5613,2991
2021-06-08,26811,22204,1718,1110
2021-04-28,27481,23699,5087,2903
2020-06-25,33578,21640,360,196
2021-07-21,26188,21628,360,210
2020-08-31,31621,21625,248,128
2020-06-22,28820,18100,349,201
2021-02-13,27545,22615,3564,1986
2021-09-06,26067,21449,1339,679
2021-02-19,27548,22913,3183,1800
2021-08-18,26082,21419,613,286
2021-04-16,27440,23469,4787,2734
2020-09-24,31582,22536,298,168
2021-07-13,26332,21585,412,268
2021-05-22,26819,22506,3391,2143
2020-10-13,31257,21853,623,323
2020-05-31,33210,20388,708,413
2020-07-29,34290,22337,270,134
2021-08-16,26006,21053,561,265
2021-04-24,27305,23283,5061,2903
2021-07-12,26311,21005,441,283
2021-07-17,25995,21227,376,235
2020-07-06,33349,20807,305,145
2021-09-01,26034,21673,1151,592
2021-05-18,27046,22916,3925,2465
2020-06-23,28497,18488,337,194
2021-01-18,27709,22660,5074,2908
2020-05-16,33599,21054,1212,827
2020-04-30,33691,20415,2301,1621
2020-09-06,31522,21557,221,127
2020-06-05,33431,21627,600,340
2020-08-23,31264,21486,247,136
2021-01-23,27605,23059,4732,2655
2020-07-08,33453,21641,292,141
2020-11-04,29595,22250,2572,1359
2021-07-26,26065,21025,376,197
2020-12-12,27828,22726,4515,2558
2020-12-17,27894,23029,4882,2787
2020-11-15,28931,21760,3410,1934
2021-06-14,26750,21836,1301,883
2021-05-01,27284,23334,5054,2951
2020-10-18,31000,21205,775,358
2021-03-19,27552,23014,2990,1618
2021-04-02,27329,22747,3897,2178
2020-08-27,31741,22297,244,140
2021-08-28,25641,21051,998,491
2021-01-10,27458,22310,5387,3090
2020-07-19,33251,21075,250,117
2021-08-19,26061,21421,632,298
2020-08-20,31656,22632,234,139
2020-09-28,31635,21689,358,193
2020-11-25,28623,22593,3801,2226
2021-02-18,27648,22939,3243,1844
2021-03-10,27754,22936,2780,1600
2021-06-28,26606,21579,710,500
2021-04-25,27251,22972,5092,2899
2021-03-24,27653,23198,3248,1753
2020-10-20,31154,21866,884,414
2021-09-15,26172,22159,1545,819
2020-09-18,31695,22690,246,134
2021-03-21,27320,22081,3094,1671
2021-02-22,27516,22408,3124,1821
2021-07-05,26407,21163,538,363
2021-06-10,26893,22358,1528,1012
2020-07-23,34023,22149,241,129
2021-06-27,26392,21389,722,495
2020-07-28,34067,21978,265,129
2020-08-03,34076,21347,276,132
2021-06-21,26659,21789,906,626
2021-09-17,25992,21976,1564,842
2021-02-21,27338,22185,3123,1778
2021-05-06,27338,23441,4811,2858
2020-09-08,31644,22372,232,131
2021-01-28,27680,23183,4514,2531
2020-06-17,32728,21279,407,252
2021-06-04,26747,22010,1989,1312
2020-08-17,31305,21640,232,136
2021-01-04,27430,22548,5810,3248
2021-05-28,26798,22283,2731,1761
2021-08-24,25931,21424,821,389
2021-02-05,27732,23234,4155,2312
2020-11-14,28987,22184,3347,1887
2020-07-16,33573,22097,255,121
2020-09-16,31752,22759,234,129
2021-08-23,25881,20975,792,368
2020-08-19,31616,22487,233,144
2020-10-02,31473,22380,375,201
2020-08-24,31355,21332,247,132
2021-09-16,26106,22176,1569,846
2020-06-12,32921,20836,448,274
2021-08-09,25995,21045,466,218
2021-08-02,25960,20894,384,190
2021-04-22,27501,23605,5098,2868
2021-01-08,27666,23107,5547,3110
2020-07-25,33924,21951,253,130
2020-07-09,33353,21675,275,133
2021-04-07,27404,23189,4485,2504
2020-04-27,32491,19217,2431,1744
2020-11-13,29148,22508,3320,1872
2021-01-11,27559,22556,5358,3047
2020-08-12,31415,22303,229,140
2021-05-02,27206,22980,5073,2974
2021-07-10,26174,21228,442,288
2020-07-05,33387,20864,298,149
2021-06-13,26530,21551,1356,934
2021-04-27,27462,23541,5102,2903
2020-11-08,29082,21258,2931,1616
2020-10-24,30320,21970,1213,537
2021-09-13,26085,21530,1519,798
2020-05-06,32878,20134,1902,1323
2021-01-22,27747,23455,4831,2726
2020-07-17,33638,22131,250,119
2021-09-02,26180,21792,1184,610
2021-02-24,27652,23075,3021,1790
2021-05-11,27178,23301,4506,2740
2020-06-01,32640,19838,683,388
2020-09-11,31688,22702,221,120
2020-11-26,28510,22681,3844,2301
2021-08-31,25937,21410,1118,572
2021-01-16,27603,22874,5080,2904
2020-06-29,33456,20971,332,183
2020-10-16,31180,22128,696,345
2020-11-17,29139,22366,3539,2023
2020-06-02,32994,20169,694,381
2020-05-26,33467,20785,829,528
2020-07-12,33110,20821,253,125
2020-08-06,31521,22018,240,134
2021-04-19,27363,22929,4981,2777
2020-08-14,31462,22565,234,135
2020-10-22,30628,22049,1039,463
2020-06-07,32969,20523,573,330
2021-02-01,27631,22761,4405,2397
2021-08-07,25841,21257,426,212
2020-10-12,31223,21455,596,290
2020-11-01,29864,21476,2081,1097
2020-06-27,33470,21579,345,188
2020-11-09,30179,21491,3032,1701
2020-11-07,29174,21795,2866,1544
2020-06-08,32643,20057,543,316
2020-11-02,29642,21456,2264,1179
2021-03-04,27674,22852,2871,1636
2021-09-12,25793,21361,1469,768
2021-01-14,27734,23160,5188,2982
2021-01-24,27534,22612,4704,2665
2020-08-30,31488,21610,248,131
2020-12-10,28092,23116,4363,2517
2020-06-14,32559,20194,424,257
2021-08-25,25990,21421,853,404
2021-05-23,26721,21936,3339,2107
2020-09-19,31564,22194,258,145
2021-01-15,27700,23133,5140,2975
2020-05-15,33534,20950,1301,843
2021-05-05,27382,23610,4883,2905
2021-06-25,26691,22232,753,532
2020-11-16,29100,21889,3462,1985
2021-05-30,26555,21540,2542,1678
2020-10-26,30396,21580,1373,626
2021-05-09,26992,22610,4628,2822
2020-07-24,34053,22300,241,121
2021-09-05,25810,21250,1294,643
2020-09-23,31586,22480,294,160
2021-08-13,26056,21471,498,249
2021-03-03,27711,22868,2884,1677
2021-06-09,26896,22364,1615,1054
2021-06-17,26794,22218,1086,763
2020-05-09,32878,20268,1662,1132
2021-06-26,26457,21741,728,504
2020-05-04,32277,19091,1965,1406
2020-05-11,32157,19300,1588,1071
2020-11-12,29332,22483,3206,1825
2020-05-18,33097,19970,1142,752
2021-08-30,25815,20999,1093,534
2021-07-16,26112,21598,384,243
2020-06-28,33374,21064,338,189
2020-11-30,28340,22181,3951,2333
2020-12-15,27944,23042,4762,2694
2020-12-13,27770,22352,4579,2618
2020-08-02,34189,21462,277,132
2020-05-05,32992,19697,1954,1357
2021-04-30,27515,23777,5062,2942
2020-05-13,33335,20725,1474,981
2021-02-23,27620,22888,3104,1814
2021-03-08,27612,22237,2916,1633
2020-07-11,33451,21606,252,127
2020-12-26,27270,21764,5585,2946
2020-12-21,27572,22504,5196,2703
2021-07-03,26250,21366,557,375
2021-05-24,26706,21771,3271,2062
2021-02-07,27514,22263,4005,2243
2021-03-09,27745,22672,2833,1603
2021-08-08,25764,20900,446,207
2020-06-24,28069,18227,331,182
2021-02-15,27516,22351,3518,1985
2021-04-03,27238,22254,3964,2198
2020-07-30,34445,22271,273,136
2020-11-06,29393,22095,2780,1455
2021-08-12,26110,21456,482,240
2020-10-09,31235,22314,513,255
2021-01-06,27669,23028,5628,3157
2020-09-02,31770,22404,231,125
2021-03-07,27462,22013,2837,1620
2021-02-03,27817,23407,4306,2369
2020-10-23,30487,22311,1130,482
2021-01-07,27681,23012,5553,3138
2021-05-14,27055,22528,4229,2664
2021-05-26,26940,22520,3036,1919
2020-06-13,32723,20617,442,263
2020-07-14,33420,21572,267,125
2020-09-12,31563,22320,234,119
2021-03-17,27654,22975,2899,1597
2020-05-01,32996,19973,2208,1563
2021-01-02,27266,22310,5790,3160
2020-08-18,31550,22300,230,137
2020-07-02,33712,22121,328,160
2020-06-10,33076,21321,494,293
2021-03-31,27551,23229,3727,2051
2021-06-12,26682,22001,1364,928
2020-09-01,31716,22261,237,132
2021-08-20,25969,21457,663,317
2021-07-09,26381,21750,459,298
2021-03-12,27702,23035,2798,1584
2021-02-17,27634,22940,3318,1888
2021-01-19,27763,23173,5025,2904
2020-05-02,33038,19765,2124,1522
2021-09-07,26136,21884,1364,712
2021-02-04,27790,23305,4266,2344
2021-01-26,27721,23121,4644,2586
2020-07-20,33508,21272,248,122
2020-10-27,30367,22299,1483,695
2020-12-22,27545,22589,5252,2743
2020-06-04,33480,21535,606,343
2021-07-20,26239,21580,364,217
2021-03-26,27547,23219,3376,1842
2021-06-30,26702,22072,625,437
2021-03-02,27689,22882,2920,1668
2020-07-22,33836,22053,252,129
2021-09-10,26100,22105,1430,754
2021-05-03,27361,23094,5052,2962
2020-10-15,31214,22091,660,333
2021-08-06,26037,21532,401,214
2020-05-27,33588,21208,772,485
2020-07-21,33697,21800,256,124
2021-09-18,25772,21497,1541,840
2020-10-04,31259,21534,426,214
2021-06-01,26986,22343,2311,1495
2020-12-30,27425,22522,5706,3093
2021-04-17,27296,23097,4833,2716
2020-10-07,31292,22409,473,236
2021-02-14,27395,22132,3506,1973
2021-08-10,26114,21374,453,223
2020-06-15,32359,20043,428,263
2020-12-04,28238,22991,4033,2399
2020-06-26,33512,21797,364,198
2021-09-04,25862,21492,1273,637
2020-09-03,31756,22417,225,128
2020-08-01,34398,22026,266,125
2021-04-08,27375,23311,4523,2558
2021-04-21,27478,23592,5037,2802
2021-08-22,25604,20681,726,340
2021-06-11,26800,22257,1438,962
2021-07-14,26354,21731,402,263
2020-05-20,33314,20921,1054,678
2021-01-27,27705,23339,4580,2545
2020-09-20,31533,21743,270,145
2020-08-26,31760,22412,230,133
2020-11-23,28754,21886,3764,2174
2020-05-21,33636,21171,1024,656
2021-02-12,27712,22928,3628,2071
2020-09-13,31524,21833,237,124
2021-06-23,26772,22424,830,596
2021-02-08,27593,22524,4030,2247
2020-06-16,32768,20970,420,258
2021-03-13,27524,22598,2764,1566
2020-09-21,31610,21722,268,146
2020-09-05,31564,22165,226,127
2020-05-29,33483,21223,738,430
2021-07-30,26023,21528,356,185
2020-06-20,30315,19607,362,219
2021-02-10,27720,23023,3813,2145
2020-05-14,33572,20838,1336,897
2020-06-30,33569,21584,338,174
2020-07-31,34413,22280,271,128
2020-05-19,33242,20520,1124,721
2020-09-10,31725,22655,235,130
2021-05-07,27245,23448,4714,2839
2021-06-24,26748,22297,797,567
2021-06-05,26648,21828,1916,1253
2020-04-26,33041,19370,2562,1873
2020-08-29,31539,22133,243,134
2021-01-20,27809,23317,4906,2818
2021-05-08,27080,22955,4654,2821
2020-09-26,31486,22348,317,175
2020-06-03,33409,21089,637,362
2021-06-20,26497,21466,947,651
2020-09-15,31638,22432,237,130
2021-06-06,26549,21491,1872,1211
2021-02-27,27442,22504,2895,1706
2020-10-25,30256,21443,1307,583
2020-05-07,33081,20355,1837,1241
2020-06-06,33281,21242,580,337
2020-05-08,32901,20359,1723,1195
2020-11-24,28689,22470,3790,2188
2021-01-01,27203,22179,5663,3143
2020-12-16,27875,23109,4862,2776
2021-07-11,26040,20807,439,273
2021-01-25,27658,22685,4692,2667
2020-08-22,31434,22109,235,140
2020-10-21,30870,21994,949,429
2020-10-28,30304,22365,1586,772
2021-08-14,25907,21139,503,245
2021-01-12,27757,22992,5298,3043
2020-05-12,32627,19993,1549,1028
2020-08-13,31381,22421,229,140
2020-10-06,31326,22063,455,223
2020-10-03,31257,22012,406,206
2021-03-14,27404,22131,2821,1577
2021-07-04,26166,20994,558,368
2020-07-10,33362,21797,278,132
2020-12-03,28321,22861,4003,2392
2021-07-06,26513,21701,519,336
2021-08-26,25988,21563,885,435
2021-03-05,27636,22879,2822,1624
2020-05-03,32234,18936,1998,1452
2020-12-14,27892,22584,4698,2683
2020-11-11,29308,22353,3149,1800
2021-01-09,27553,22821,5481,3109
2021-02-06,27595,22820,4044,2267
2020-11-21,28758,22290,3652,2111
2021-03-11,27739,22997,2802,1584
2020-11-28,28247,22480,3911,2317
2021-06-02,26850,22338,2170,1405
2021-01-30,27559,22914,4435,2436
2021-07-27,26166,21494,376,202
2020-12-24,27277,22026,5399,2851
2021-01-31,27520,22523,4438,2386
2020-09-29,31737,22430,355,197
2020-10-05,31334,21471,450,213
2021-06-29,26713,22058,680,467
2021-07-19,26179,21043,373,230
2021-05-04,27382,23464,5002,2956
2020-04-29,33837,20466,2440,1738
2021-08-05,26133,21447,396,213
2021-08-03,26117,21421,384,200
2021-04-29,27538,23720,5074,2946
2021-04-18,27143,22655,4890,2750
2021-07-18,25926,20827,374,239
2020-05-25,33075,19948,884,552
2020-07-04,33475,21489,322,159
2020-10-17,31035,21797,737,349
2021-01-03,27278,22435,5824,3204
2021-05-29,26652,21894,2622,1716
2020-12-07,28094,22387,4206,2527
2021-04-05,27094,22260,4190,2336
2021-09-09,26154,22082,1415,745
2021-02-28,27350,22010,2908,1707
2021-04-23,27454,23588,5097,2878
2021-07-02,26432,21796,574,396
2021-04-01,27427,23084,3776,2099
2020-10-08,31240,22355,491,242
2021-05-25,26847,21996,3212,2009
2020-09-17,31778,22922,238,135
2021-01-05,27615,22907,5739,3217
2020-12-29,27483,22565,5706,3101
2020-11-03,29552,22034,2411,1268
2020-11-18,29089,22602,3580,2035
2020-06-09,33148,21170,535,320
2020-08-04,29079,20132,230,130
2021-04-26,27412,23198,5161,2933
2020-10-29,30315,22351,1716,835
2021-08-29,25546,20768,1031,496
2020-11-20,28976,22634,3638,2114
2020-10-14,31189,22060,607,327
2021-03-27,27397,22925,3431,1854
2020-11-05,29441,22288,2680,1432
2020-12-20,27451,22180,5050,2653
2020-08-07,31414,22016,234,137
2021-08-17,26041,21297,586,279
2021-07-15,26316,21735,401,257
2021-03-20,27378,22582,2992,1618
2020-09-30,31672,22572,357,197
2020-12-05,28003,22635,4076,2430
2021-03-25,27640,23196,3298,1783
2021-07-28,26147,21752,366,195
2021-03-06,27542,22457,2808,1614
2021-03-16,27651,22863,2896,1631
2020-09-07,31597,21669,231,135
2021-07-01,26678,21973,601,420
2020-07-18,33458,21695,248,117
2021-06-19,26611,21921,984,678
2021-02-16,27641,22880,3420,1954
2020-06-19,31711,20763,376,227
2020-08-10,31217,21341,236,134
2021-01-29,27680,23228,4450,2453
2020-12-02,28349,22844,3983,2364
2020-07-07,33648,21542,298,144
2021-04-06,27285,22762,4399,2421
2020-08-09,31114,21192,244,139
2020-07-03,33222,21804,319,161
2020-11-27,28421,22880,3875,2312
2021-03-30,27575,23019,3647,2004
2020-04-28,33406,19849,2492,1767
2020-08-11,31380,22160,241,141
2020-05-24,33192,20057,899,567
2021-05-17,26965,22484,4058,2523
2021-05-31,26738,21819,2475,1596
2020-05-22,33319,20620,975,602
2020-05-30,33478,21102,727,424
2020-05-28,33586,21339,751,454
2020-10-11,31180,21412,550,279
2020-12-28,27396,22155,5649,3047
2021-05-15,26954,22459,4130,2619
2021-05-12,27226,23392,4421,2707
2020-12-06,27980,22185,4132,2470
2020-12-11,27922,23062,4456,2553
2021-03-18,27616,23033,2934,1611
2020-07-15,33582,22076,248,120
2021-07-29,26197,21693,354,191
2020-06-21,29210,18383,343,198
2020-12-23,27479,22435,5279,2829
2021-09-19,25672,21151,1557,838
2020-08-25,31526,22064,225,133
2020-09-14,31623,21672,238,124
2021-05-19,27032,23056,3750,2381
2021-07-24,25959,21210,360,196
2020-06-11,33016,21244,464,281
2021-02-11,27712,22977,3750,2106
2021-07-25,25843,20807,376,199
2021-03-15,27561,22327,2879,1638
2020-11-10,29310,22132,3081,1749
2021-09-20,25879,21272,1559,839
2021-07-31,25879,21196,365,185
2020-11-19,29014,22484,3613,2095
