Gesamt,90+,85 - 89,80 - 84,75 - 79,70 - 74,65 - 69,60 - 64,55 - 59,50 - 54,45 - 49,40 - 44,35 - 39,30 - 34,25 - 29,20 - 24,15 - 19,10 - 14,5 - 9,0 - 4,Datum
1.08,0.12,0.38,0.36,0.62,0.3,0.51,1.12,1.14,1.98,1.88,1.73,1.27,1.26,1.5,1.52,1.09,0.51,0.27,0.23,2020-03-02
7.73,1.58,2.43,2.55,2.92,3.97,4.86,7.58,11.13,14.59,14.13,11.51,10.32,9.77,10.78,6.99,4.59,2.78,1.5,0.91,2020-03-09
26.93,12.27,14.0,14.21,14.73,16.85,18.19,28.24,38.5,46.06,39.82,36.71,33.14,37.28,39.29,31.33,13.63,6.86,4.53,3.61,2020-03-16
40.85,51.64,47.0,38.86,36.22,36.12,33.9,44.65,53.32,59.63,55.3,47.32,45.04,47.95,52.99,49.26,23.84,10.24,6.65,6.39,2020-03-23
43.34,142.15,92.53,59.71,46.13,38.4,34.76,49.22,54.38,55.09,51.37,46.93,41.69,44.02,49.01,48.67,27.24,11.61,7.81,6.82,2020-03-30
32.65,150.9,91.06,52.12,33.92,28.42,22.95,31.68,38.59,38.91,36.31,34.14,31.27,31.7,38.13,37.63,21.78,8.24,6.36,5.98,2020-04-06
20.84,103.15,59.15,35.76,22.0,17.2,13.52,19.19,23.2,23.22,22.21,20.8,18.57,21.93,25.42,26.67,14.52,6.35,4.37,4.04,2020-04-13
14.86,70.71,43.55,24.89,15.17,11.54,10.33,11.92,15.75,14.72,14.92,14.2,14.43,16.41,19.59,20.81,10.23,5.08,4.13,4.67,2020-04-20
8.94,34.63,20.72,13.72,9.05,7.48,5.45,7.17,8.89,8.97,8.89,9.27,8.79,10.23,13.44,12.87,6.73,3.67,3.22,3.36,2020-04-27
7.5,25.03,16.75,9.11,7.09,5.66,4.28,5.88,7.55,7.76,8.5,8.21,8.0,8.86,10.29,10.98,6.6,3.4,2.82,3.48,2020-05-04
5.73,17.13,11.45,7.47,4.51,3.48,3.0,4.23,5.34,5.59,6.28,7.29,6.66,7.17,7.71,9.09,4.65,3.19,2.98,2.93,2020-05-11
4.33,12.51,8.06,4.64,2.71,2.56,2.51,3.1,3.9,3.76,4.8,4.97,5.18,5.73,6.8,6.79,3.86,2.89,2.12,3.08,2020-05-18
3.85,8.75,5.44,3.43,2.14,2.18,2.18,2.99,3.52,3.59,4.06,4.32,4.56,4.89,6.19,6.25,4.06,3.24,3.01,2.2,2020-05-25
2.83,5.1,3.26,2.31,1.5,1.28,1.23,1.88,2.11,2.24,3.07,3.56,2.93,3.77,4.37,4.97,4.06,2.81,2.66,2.7,2020-06-01
2.82,5.59,3.26,1.85,1.19,1.09,1.05,1.61,1.97,2.18,2.75,3.2,3.69,4.09,4.77,5.42,2.84,3.21,3.3,2.8,2020-06-08
4.96,4.5,3.01,1.88,1.68,1.55,1.42,2.12,2.76,4.72,7.11,9.21,7.26,7.5,7.72,8.2,6.12,5.19,4.72,4.01,2020-06-15
3.86,3.4,2.11,1.55,1.47,1.09,1.36,1.89,3.01,3.98,5.27,5.56,5.67,6.04,6.42,5.64,4.29,3.94,3.7,3.43,2020-06-22
3.23,2.92,1.79,1.49,1.03,1.01,1.28,1.97,2.3,2.77,4.17,4.36,4.24,4.71,6.19,5.6,3.5,2.84,3.27,3.61,2020-06-29
2.92,1.7,1.28,1.09,1.03,1.55,1.28,1.65,1.72,2.56,3.41,3.87,3.84,4.71,4.49,5.14,3.83,2.78,3.09,3.71,2020-07-06
3.63,3.28,1.53,1.15,1.14,1.69,1.46,1.95,2.64,3.1,4.4,5.11,4.76,5.44,6.09,6.51,4.85,3.97,3.65,3.53,2020-07-13
4.72,2.07,2.17,1.55,1.47,1.71,1.75,2.69,3.58,4.38,6.35,6.54,6.75,6.95,8.06,8.2,6.24,5.16,4.05,4.06,2020-07-20
5.8,4.74,2.62,2.73,1.83,2.42,1.77,2.67,4.26,5.22,7.32,8.78,7.24,7.72,10.05,11.31,9.27,6.81,5.31,3.79,2020-07-27
7.28,3.4,2.49,2.12,1.42,2.48,2.49,3.61,4.57,6.2,8.67,10.0,9.72,9.37,11.92,16.17,13.76,9.86,7.65,4.75,2020-08-03
9.56,3.04,3.58,2.46,1.83,2.15,2.26,3.42,4.82,7.03,10.9,13.02,12.16,12.76,16.53,25.21,18.81,14.72,11.03,6.94,2020-08-10
11.54,2.19,1.47,1.94,1.73,2.64,2.49,4.2,6.38,8.35,13.14,14.61,14.37,17.21,23.53,33.55,22.36,15.58,10.2,7.17,2020-08-17
10.61,3.4,2.11,1.52,1.78,2.5,2.68,4.3,5.28,8.0,11.43,13.44,13.5,15.65,24.12,28.75,21.17,13.02,9.47,5.63,2020-08-24
10.37,2.92,1.6,1.82,1.93,2.86,2.61,4.39,5.85,8.2,11.66,13.2,12.25,17.09,22.82,27.12,19.52,11.72,8.59,5.71,2020-08-31
11.74,5.47,5.44,4.04,3.79,4.11,4.61,6.0,8.22,9.97,13.2,13.97,13.2,17.1,24.2,27.86,21.1,13.45,8.72,5.71,2020-09-07
14.78,8.99,6.52,5.95,4.67,7.02,5.97,8.69,11.28,13.37,16.63,17.19,17.05,21.98,29.19,32.87,26.4,13.99,9.55,7.32,2020-09-14
15.7,11.42,7.74,6.44,5.98,7.24,6.28,9.6,12.87,14.84,16.97,17.52,19.04,23.67,28.3,34.39,26.55,15.77,10.41,7.57,2020-09-21
19.15,14.34,10.55,9.56,7.95,9.55,9.26,12.04,16.46,17.94,22.74,21.45,21.8,27.73,34.41,37.74,33.76,19.15,11.62,8.25,2020-09-28
31.41,22.36,19.57,14.27,13.03,15.95,14.14,22.52,27.77,33.84,38.61,38.09,34.45,42.92,52.91,60.5,52.52,30.81,16.8,13.18,2020-10-05
